"Output","Website use","Later social use"
"Product title","Product-card and product-page headline","Post/reel headline"
"SKU","Internal identity and image grouping","Reference for internal tracking only"
"Image filename plan","Website/storage organization","Asset retrieval"
"Description","Product page","Source text for captions"
"Short description","Product-card excerpt","Facebook Marketplace opening"
"Alt text","Accessible product images","Optional reuse"
"Facts block","Price, dimensions, condition, pickup","Caption fact check"
"Tags/category","Filtering and collection placement","Hashtag/topic prompts"
"Listing state","DRAFT , REVIEW , APPROVED , AVAILABLE , SOLD , FEATURED","Prevents posts for sold/unapproved items"
"Social copy pack","Stored but not posted in v1","Instagram, Facebook, Google Business variations"
