"Asset Inventory & Developer Hand-off Catalog",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"These are AI-generated, non-product assets for Instagram highlight covers. There are two variants of each design; both remain pending owner review, and only one variant per design should be retained after approval. The proposed filenames follow {slug}-{tag}-{n}.png. The tag is descriptive rather than a SKU because these are not product photos.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Use lowercase kebab-case slugs. Keep slugs unique. Use a descriptive non-product tag, here 'ig-highlight'. Start the sequential number at 1 for each slug+tag combination. Do not assign product SKUs to these assets.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Asset ID","Current design/page name",Slug,Variant,"Asset type",Usage,"Review status","Proposed filename","Local file location","Website file location","Developer hand-off notes",,,,,,,,,,,,,,,
1,available-badge,available,1,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants","available-ig-highlight-1.png","/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/available-ig-highlight-1.png","/design-system/assets/social-media/available-ig-highlight-1.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
2,available-badge-2,available,2,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants","available-ig-highlight-2.png","/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/available-ig-highlight-2.png","/design-system/assets/social-media/available-ig-highlight-2.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
3,sold-badge,sold,1,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants",sold-ig-highlight-1.png,"/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/sold-ig-highlight-1.png","/design-system/assets/social-media/sold-ig-highlight-1.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
4,sold-badge-2,sold,2,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants",sold-ig-highlight-2.png,"/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/sold-ig-highlight-2.png","/design-system/assets/social-media/sold-ig-highlight-2.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
5,atomic-homes-badge,atomic-homes,1,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants","atomic-homes-ig-highlight-1.png","/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/atomic-homes-ig-highlight-1.png","/design-system/assets/social-media/atomic-homes-ig-highlight-1.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
6,atomic-homes-badge-2,atomic-homes,2,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants","atomic-homes-ig-highlight-2.png","/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/atomic-homes-ig-highlight-2.png","/design-system/assets/social-media/atomic-homes-ig-highlight-2.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
7,nacho-badge,nacho,1,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants",nacho-ig-highlight-1.png,"/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/nacho-ig-highlight-1.png","/design-system/assets/social-media/nacho-ig-highlight-1.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
8,nacho-badge-2,nacho,2,"marketing asset","Instagram highlight cover","Pending owner review; retain one of the two variants",nacho-ig-highlight-2.png,"/Users/cuus/Claude/projects/atomic-finds-brand/ds/design-system/assets/social-media/nacho-ig-highlight-2.png","/design-system/assets/social-media/nacho-ig-highlight-2.png","The approved variant should keep its proposed filename. The rejected variant should be archived or removed after owner review. The website path mirrors the local asset path after deployment.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
