Nr.,Severity,Status,Note,Suggestion,Screenshot,Date,Created by,Page URL,Page name,Kanban column,Guideline,Rule,Device,Window width (px),Window height (px),Browser,OS,Project domain,Project name
1,Neutral,Active,remove button ui and keep text and star icon. no border or background. - just animation ,,https://heurioprodsa.blob.core.windows.net/attachments/c05f93f1-1e4d-443d-a4a6-d2ba0f621c88.jpeg,2026-09-04T08:06:45,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
2,High,Active,this is not a great hero image - i'm thinking we move the social feed to the hero - I'll send style info but they should rotate through posts and the cards should be square with brand corner radius slight shadow effect but with a rotation of patterns from the textures folder photo only hyperlink to live post on hover see animation. below the photo is a separate rectangle with product info and post text - rotate through the below products  Clementine https://www.facebook.com/marketplace/item/1120601130662268/?ref=marketplace_profile&referral_code=undefined Salem https://www.facebook.com/marketplace/item/1385943783000077/?ref=marketplace_profile&referral_code=undefined Dottie https://www.facebook.com/marketplace/item/1787489942387784/?ref=marketplace_profile&referral_code=undefined TROPITAN https://www.facebook.com/marketplace/item/3271162179721985/?ref=marketplace_profile&referral_code=undefined Maple https://www.facebook.com/marketplace/item/1576568503908164/?ref=marketplace_profile&referral_code=undefined Adam https://www.facebook.com/marketplace/item/1674455373651251/?ref=marketplace_profile&referral_code=undefined Eloise https://www.facebook.com/marketplace/item/1021234577394540/?ref=marketplace_profile&referral_code=undefined,,https://heurioprodsa.blob.core.windows.net/attachments/80470b96-7674-4d9b-8dff-2f92cd6435d9.jpeg,2026-09-04T08:13:18,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
3,Medium,Active,remove completely please,,https://heurioprodsa.blob.core.windows.net/attachments/a952f386-4695-4c91-84a0-ea633edd180c.jpeg,2026-09-04T08:13:28,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
4,Neutral,Active,add this image  next to  the our story: https://www.instagram.com/p/Db30OC6v9qS/,,https://heurioprodsa.blob.core.windows.net/attachments/fae1229f-93f7-4b5d-9dc6-e24e9048e3ea.jpeg,2026-09-04T12:50:34,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
5,Medium,Active,text needs to be centered on the screen,,https://heurioprodsa.blob.core.windows.net/attachments/49ba8788-2f5f-4c79-823f-f39d015b46de.jpeg,2026-09-04T12:51:09,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
6,Critical,Active,the atomic homes section doesn't seem like any effort whatsoever was put into finding a real connected solution or matching descriptions to product photos. these are all completely wrong product descriptions photos they are not connected and the product photos that were added are not items that have been sold let alone items that would be in a customers home. we need to see if there is a way to  connect the highlight real of atomic homes shared posts directly inside the website  or at the very least try to recreate the component based on products and descriptions of REAL SOLD products. Again this is a highlight reel and we can find it in IG by looking at the highlight at the top of the profile and  we can. also pull data from another highlight that features sold items. ,,https://heurioprodsa.blob.core.windows.net/attachments/96d6dde4-249f-471b-a1f3-756b1b7d29b4.jpeg,2026-09-04T12:52:16,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
7,Neutral,Active,remove this section because it is going into the hero,,https://heurioprodsa.blob.core.windows.net/attachments/b5644d2d-3ddf-4b48-a9be-6ce8e6ba91fe.jpeg,2026-09-04T12:53:03,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
8,High,Active,make this a horizontal grid instead of vertical,,https://heurioprodsa.blob.core.windows.net/attachments/c88f6743-9127-4f0e-95b5-0e81f630f6f9.jpeg,2026-09-04T12:53:30,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
9,Neutral,Active,make the product section smaller a grid and create at least 6-9 product cards,,https://heurioprodsa.blob.core.windows.net/attachments/35785f53-1969-4715-8952-84ccd369bbd3.jpeg,2026-09-04T12:54:11,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
10,Medium,Active,header  needs to be sticky,,https://heurioprodsa.blob.core.windows.net/attachments/5d202589-7159-4d36-85f3-2123feea2e22.jpeg,2026-09-04T12:54:39,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
11,Medium,Active,logo should be a larger,,https://heurioprodsa.blob.core.windows.net/attachments/6c678062-a443-4a1c-a31c-7408c65f94f8.jpeg,2026-09-04T12:54:53,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
12,Neutral,Active,remove "by Jennyfer" replace with hand selected and verified ,,https://heurioprodsa.blob.core.windows.net/attachments/8d51b213-256b-4895-a808-731f490d7830.jpeg,2026-09-04T12:55:49,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
13,Critical,Active,remove number for now,,https://heurioprodsa.blob.core.windows.net/attachments/a03a4565-72fb-436c-962b-285b3ec410ae.jpeg,2026-09-04T12:56:54,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
14,Medium,Active,placeholder text needs to be lighter,,https://heurioprodsa.blob.core.windows.net/attachments/489916eb-1c77-41d7-9415-d2dab3aa104a.jpeg,2026-09-04T12:57:13,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
15,Neutral,Active,Large ATOMIC FINDS ATX that spans the entire width of the site should be added right above the footer with animation ,,https://heurioprodsa.blob.core.windows.net/attachments/240e643f-2e2a-4b89-b616-88186c4cd43d.jpeg,2026-09-04T12:58:20,Anthony Cassella,pilot.atomicfindsatx.store/,Atomic Finds ATX — Tiny Time Machines for Your Home,ToDo,,,Desktop,1827,1032,chrome - 152,MacOS,pilot.atomicfindsatx.store,atomic-finds
